state_name,state_abbr,county_name,state_fips,county_fips
 California,CA,Fresno County,06,019
 California,CA,Glenn County,06,021
 California,CA,Humboldt County,06,023
 California,CA,Imperial County,06,025
 California,CA,Inyo County,06,027
 California,CA,Kern County,06,029
 California,CA,Kings County,06,031
 California,CA,Lake County,06,033
 California,CA,Lassen County,06,035
 California,CA,Los Angeles County,06,037
 California,CA,Madera County,06,039
 California,CA,Marin County,06,041
 California,CA,Mariposa County,06,043
 California,CA,Mendocino County,06,045
 California,CA,Merced County,06,047
 California,CA,Modoc County,06,049
 California,CA,Mono County,06,051
 California,CA,Monterey County,06,053
 California,CA,Napa County,06,055
 California,CA,Nevada County,06,057
 California,CA,Orange County,06,059
 California,CA,Placer County,06,061
 California,CA,Plumas County,06,063
 California,CA,Riverside County,06,065
 California,CA,Sacramento County,06,067
 California,CA,San Benito County,06,069
 California,CA,San Bernardino County,06,071
 California,CA,San Diego County,06,073
 California,CA,San Francisco County,06,075
 California,CA,San Joaquin County,06,077
 California,CA,San Luis Obispo County,06,079
 California,CA,San Mateo County,06,081
 California,CA,Santa Barbara County,06,083
 California,CA,Santa Clara County,06,085
 California,CA,Santa Cruz County,06,087
 California,CA,Shasta County,06,089
 California,CA,Sierra County,06,091
 California,CA,Siskiyou County,06,093
 California,CA,Solano County,06,095
 California,CA,Sonoma County,06,097
 California,CA,Stanislaus County,06,099
 California,CA,Sutter County,06,101
 California,CA,Tehama County,06,103
 California,CA,Trinity County,06,105
 California,CA,Tulare County,06,107
 California,CA,Tuolumne County,06,109
 California,CA,Ventura County,06,111
 California,CA,Yolo County,06,113
 California,CA,Yuba County,06,115
 California,CA,Alameda County,06,001
 California,CA,Alpine County,06,003
 California,CA,Amador County,06,005
 California,CA,Butte County,06,007
 California,CA,Calaveras County,06,009
 California,CA,Colusa County,06,011
 California,CA,Contra Costa County,06,013
 California,CA,Del Norte County,06,015
 California,CA,El Dorado County,06,017
 California,CA,Fresno County,06,019
 California,CA,Glenn County,06,021
 California,CA,Humboldt County,06,023
 California,CA,Imperial County,06,025
 California,CA,Inyo County,06,027
 California,CA,Kern County,06,029
 California,CA,Kings County,06,031
 California,CA,Lake County,06,033
 California,CA,Lassen County,06,035
 California,CA,Los Angeles County,06,037
 California,CA,Madera County,06,039
 California,CA,Marin County,06,041
 California,CA,Mariposa County,06,043
 California,CA,Mendocino County,06,045
 California,CA,Merced County,06,047
 California,CA,Modoc County,06,049
 California,CA,Mono County,06,051
 California,CA,Monterey County,06,053
 California,CA,Napa County,06,055
 California,CA,Nevada County,06,057
 California,CA,Orange County,06,059
 California,CA,Placer County,06,061
 California,CA,Plumas County,06,063
 California,CA,Riverside County,06,065
 California,CA,Sacramento County,06,067
